phase,action_type,edge
late,do,"('K35.80', 'E11.9')"
late,do,"('K35.80', 'F80.9')"
late,do,"('S06.0X0A', 'T14.91')"
late,do,"('S06.0X0A', 'E11.9')"
late,do,"('S06.0X0A', 'M54.5')"
late,do,"('S06.0X0A', 'L03.90')"
late,do,"('S06.0X0A', 'F80.9')"
late,do,"('S06.0X0A', 'Q21.1')"
late,do,"('S06.0X0A', 'B20')"
late,do,"('S06.0X0A', 'G43.9')"
late,do,"('S06.0X0A', 'P07.30')"
late,do,"('S06.0X0A', 'S06.0X0A')"
late,do,"('S06.0X0A', 'K21.9')"
late,do,"('S06.0X0A', 'A41.9')"
late,do,"('P07.30', 'G40.9')"
late,do,"('P07.30', 'B20')"
late,do,"('P07.30', 'T14.91')"
late,do,"('P07.30', 'A41.9')"
late,do,"('P07.30', 'M54.5')"
late,do,"('P07.30', 'G30.0')"
late,do,"('P07.30', 'E11.9')"
late,do,"('P07.30', 'U07.1')"
late,do,"('P07.30', 'P07.30')"
late,do,"('P07.30', 'F80.9')"
late,do,"('P07.30', 'L03.90')"
late,do,"('P07.30', 'J18.9')"
late,do,"('E11.9', 'B20')"
late,do,"('E11.9', 'G30.0')"
late,do,"('E11.9', 'A41.9')"
late,do,"('E11.9', 'K21.9')"
late,do,"('E11.9', 'L03.90')"
late,do,"('E11.9', 'J18.9')"
late,do,"('E11.9', 'G40.9')"
late,do,"('E11.9', 'Q21.1')"
late,do,"('E11.9', 'I21.9')"
late,do,"('B20', 'G43.9')"
late,do,"('B20', 'G30.0')"
late,do,"('B20', 'L03.90')"
late,do,"('B20', 'F80.9')"
late,do,"('B20', 'T14.91')"
late,do,"('B20', 'J18.9')"
late,do,"('B20', 'U07.1')"
late,do,"('F80.9', 'T14.91')"
late,do,"('F80.9', 'M54.5')"
late,do,"('F80.9', 'G43.9')"
late,do,"('F80.9', 'G30.0')"
late,do,"('F80.9', 'A41.9')"
late,do,"('F80.9', 'K21.9')"
late,do,"('F80.9', 'L03.90')"
late,do,"('F80.9', 'F80.9')"
late,do,"('F80.9', 'G40.9')"
late,do,"('F80.9', 'J18.9')"
late,do,"('F80.9', 'U07.1')"
late,do,"('G40.9', 'T14.91')"
late,do,"('G40.9', 'J18.9')"
